GLOBAL SETTINGS VARIABLES,,,,,FIXED LENGTH,,,,,,PHP TEMPORARY VARIABLE,,,,,,,,,,
Count,charecteristic,length,max_length,remainder,same length string,"len_
after",table_name,"table_
name_
length",table_name same length,"len_
after",weight_in_table ,"weight_in_table
same length","len
after",big_firm_effective_weight,"len_
after",small_firm_effective_weight,"len_
after",big_firm_max_score,"len_
after",small_firm_max_score,
36,LeadershipCategory,18,35,17,$LeadershipCategory                 ,36,ManagementAnalysis,18,ManagementAnalysis      ,24,$LeadershipCategoryWeight,$LeadershipCategoryWeight                 ,42,$bfLeadershipCategoryEffectiveWeight                 ,53,$sfLeadershipCategoryEffectiveWeight                 ,53,$bfLeadershipCategoryScore                 ,43,$sfLeadershipCategoryScore                 ,43
37,StrategyCategory,16,35,19,$StrategyCategory                   ,36,ManagementAnalysis,18,ManagementAnalysis      ,24,$StrategyCategoryWeight,$StrategyCategoryWeight                   ,42,$bfStrategyCategoryEffectiveWeight                   ,53,$sfStrategyCategoryEffectiveWeight                   ,53,$bfStrategyCategoryScore                   ,43,$sfStrategyCategoryScore                   ,43
38,StructureCategory,17,35,18,$StructureCategory                  ,36,ManagementAnalysis,18,ManagementAnalysis      ,24,$StructureCategoryWeight,$StructureCategoryWeight                  ,42,$bfStructureCategoryEffectiveWeight                  ,53,$sfStructureCategoryEffectiveWeight                  ,53,$bfStructureCategoryScore                  ,43,$sfStructureCategoryScore                  ,43
39,ManagementCategory,18,35,17,$ManagementCategory                 ,36,ManagementAnalysis,18,ManagementAnalysis      ,24,$ManagementCategoryWeight,$ManagementCategoryWeight                 ,42,$bfManagementCategoryEffectiveWeight                 ,53,$sfManagementCategoryEffectiveWeight                 ,53,$bfManagementCategoryScore                 ,43,$sfManagementCategoryScore                 ,43
40,SuccessionPlanCategory,22,35,13,$SuccessionPlanCategory             ,36,ManagementAnalysis,18,ManagementAnalysis      ,24,$SuccessionPlanCategoryWeight,$SuccessionPlanCategoryWeight             ,42,$bfSuccessionPlanCategoryEffectiveWeight             ,53,$sfSuccessionPlanCategoryEffectiveWeight             ,53,$bfSuccessionPlanCategoryScore             ,43,$sfSuccessionPlanCategoryScore             ,43
41,OrganisationalDesignCategory,28,35,7,$OrganisationalDesignCategory       ,36,ManagementAnalysis,18,ManagementAnalysis      ,24,$OrganisationalDesignCategoryWeight,$OrganisationalDesignCategoryWeight       ,42,$bfOrganisationalDesignCategoryEffectiveWeight       ,53,$sfOrganisationalDesignCategoryEffectiveWeight       ,53,$bfOrganisationalDesignCategoryScore       ,43,$sfOrganisationalDesignCategoryScore       ,43
42,BusinessCyclicality,19,35,16,$BusinessCyclicality                ,36,IndustrialAnalysis,18,IndustrialAnalysis      ,24,$BusinessCyclicalityWeight,$BusinessCyclicalityWeight                ,42,$bfBusinessCyclicalityEffectiveWeight                ,53,$sfBusinessCyclicalityEffectiveWeight                ,53,$bfBusinessCyclicalityScore                ,43,$sfBusinessCyclicalityScore                ,43
43,IndustryPerformance,19,35,16,$IndustryPerformance                ,36,IndustrialAnalysis,18,IndustrialAnalysis      ,24,$IndustryPerformanceWeight,$IndustryPerformanceWeight                ,42,$bfIndustryPerformanceEffectiveWeight                ,53,$sfIndustryPerformanceEffectiveWeight                ,53,$bfIndustryPerformanceScore                ,43,$sfIndustryPerformanceScore                ,43
44,Porters,7,35,28,$Porters                            ,36,IndustrialAnalysis,18,IndustrialAnalysis      ,24,$PortersWeight,$PortersWeight                            ,42,$bfPortersEffectiveWeight                            ,53,$sfPortersEffectiveWeight                            ,53,$bfPortersScore                            ,43,$sfPortersScore                            ,43
45,OwnersPaidDebtExceedsDefaults,29,35,6,$OwnersPaidDebtExceedsDefaults      ,36,ShareholderAnalysis,19,ShareholderAnalysis     ,24,$OwnersPaidDebtExceedsDefaultsWeight,$OwnersPaidDebtExceedsDefaultsWeight      ,42,$bfOwnersPaidDebtExceedsDefaultsEffectiveWeight      ,53,$sfOwnersPaidDebtExceedsDefaultsEffectiveWeight      ,53,$bfOwnersPaidDebtExceedsDefaultsScore      ,43,$sfOwnersPaidDebtExceedsDefaultsScore      ,43
46,OwnersNoOfJudgements,20,35,15,$OwnersNoOfJudgements               ,36,ShareholderAnalysis,19,ShareholderAnalysis     ,24,$OwnersNoOfJudgementsWeight,$OwnersNoOfJudgementsWeight               ,42,$bfOwnersNoOfJudgementsEffectiveWeight               ,53,$sfOwnersNoOfJudgementsEffectiveWeight               ,53,$bfOwnersNoOfJudgementsScore               ,43,$sfOwnersNoOfJudgementsScore               ,43
47,OwnersNoOfDefaults,18,35,17,$OwnersNoOfDefaults                 ,36,ShareholderAnalysis,19,ShareholderAnalysis     ,24,$OwnersNoOfDefaultsWeight,$OwnersNoOfDefaultsWeight                 ,42,$bfOwnersNoOfDefaultsEffectiveWeight                 ,53,$sfOwnersNoOfDefaultsEffectiveWeight                 ,53,$bfOwnersNoOfDefaultsScore                 ,43,$sfOwnersNoOfDefaultsScore                 ,43
48,OwnersNoOfTraceAlerts,21,35,14,$OwnersNoOfTraceAlerts              ,36,ShareholderAnalysis,19,ShareholderAnalysis     ,24,$OwnersNoOfTraceAlertsWeight,$OwnersNoOfTraceAlertsWeight              ,42,$bfOwnersNoOfTraceAlertsEffectiveWeight              ,53,$sfOwnersNoOfTraceAlertsEffectiveWeight              ,53,$bfOwnersNoOfTraceAlertsScore              ,43,$sfOwnersNoOfTraceAlertsScore              ,43
49,LoanRateType,12,35,23,$LoanRateType                       ,36,BehavioralAnalysis,18,BehavioralAnalysis      ,24,$LoanRateTypeWeight,$LoanRateTypeWeight                       ,42,$bfLoanRateTypeEffectiveWeight                       ,53,$sfLoanRateTypeEffectiveWeight                       ,53,$bfLoanRateTypeScore                       ,43,$sfLoanRateTypeScore                       ,43
50,LoanMaturity,12,35,23,$LoanMaturity                       ,36,BehavioralAnalysis,18,BehavioralAnalysis      ,24,$LoanMaturityWeight,$LoanMaturityWeight                       ,42,$bfLoanMaturityEffectiveWeight                       ,53,$sfLoanMaturityEffectiveWeight                       ,53,$bfLoanMaturityScore                       ,43,$sfLoanMaturityScore                       ,43
51,BBSBankingRelationshipYears,27,35,8,$BBSBankingRelationshipYears        ,36,BehavioralAnalysis,18,BehavioralAnalysis      ,24,$BBSBankingRelationshipYearsWeight,$BBSBankingRelationshipYearsWeight        ,42,$bfBBSBankingRelationshipYearsEffectiveWeight        ,53,$sfBBSBankingRelationshipYearsEffectiveWeight        ,53,$bfBBSBankingRelationshipYearsScore        ,43,$sfBBSBankingRelationshipYearsScore        ,43
52,BBSBankingProductsNo,20,35,15,$BBSBankingProductsNo               ,36,BehavioralAnalysis,18,BehavioralAnalysis      ,24,$BBSBankingProductsNoWeight,$BBSBankingProductsNoWeight               ,42,$bfBBSBankingProductsNoEffectiveWeight               ,53,$sfBBSBankingProductsNoEffectiveWeight               ,53,$bfBBSBankingProductsNoScore               ,43,$sfBBSBankingProductsNoScore               ,43
53,PastYearArrearIncidentsNo,25,35,10,$PastYearArrearIncidentsNo          ,36,BehavioralAnalysis,18,BehavioralAnalysis      ,24,$PastYearArrearIncidentsNoWeight,$PastYearArrearIncidentsNoWeight          ,42,$bfPastYearArrearIncidentsNoEffectiveWeight          ,53,$sfPastYearArrearIncidentsNoEffectiveWeight          ,53,$bfPastYearArrearIncidentsNoScore          ,43,$sfPastYearArrearIncidentsNoScore          ,43
54,Past2YearsArrearLoansRenegotiatedNo,35,35,0,$Past2YearsArrearLoansRenegotiatedNo,36,BehavioralAnalysis,18,BehavioralAnalysis      ,24,$Past2YearsArrearLoansRenegotiatedNoWeight,$Past2YearsArrearLoansRenegotiatedNoWeight,42,$bfPast2YearsArrearLoansRenegotiatedNoEffectiveWeight,53,$sfPast2YearsArrearLoansRenegotiatedNoEffectiveWeight,53,$bfPast2YearsArrearLoansRenegotiatedNoScore,43,$sfPast2YearsArrearLoansRenegotiatedNoScore,43
55,PaidDebtExceedsDefaults,23,35,12,$PaidDebtExceedsDefaults            ,36,BehavioralAnalysis,18,BehavioralAnalysis      ,24,$PaidDebtExceedsDefaultsWeight,$PaidDebtExceedsDefaultsWeight            ,42,$bfPaidDebtExceedsDefaultsEffectiveWeight            ,53,$sfPaidDebtExceedsDefaultsEffectiveWeight            ,53,$bfPaidDebtExceedsDefaultsScore            ,43,$sfPaidDebtExceedsDefaultsScore            ,43
56,NoOfJudgements,14,35,21,$NoOfJudgements                     ,36,BehavioralAnalysis,18,BehavioralAnalysis      ,24,$NoOfJudgementsWeight,$NoOfJudgementsWeight                     ,42,$bfNoOfJudgementsEffectiveWeight                     ,53,$sfNoOfJudgementsEffectiveWeight                     ,53,$bfNoOfJudgementsScore                     ,43,$sfNoOfJudgementsScore                     ,43
57,NoOfDefaults,12,35,23,$NoOfDefaults                       ,36,BehavioralAnalysis,18,BehavioralAnalysis      ,24,$NoOfDefaultsWeight,$NoOfDefaultsWeight                       ,42,$bfNoOfDefaultsEffectiveWeight                       ,53,$sfNoOfDefaultsEffectiveWeight                       ,53,$bfNoOfDefaultsScore                       ,43,$sfNoOfDefaultsScore                       ,43
58,NoOfTraceAlerts,15,35,20,$NoOfTraceAlerts                    ,36,BehavioralAnalysis,18,BehavioralAnalysis      ,24,$NoOfTraceAlertsWeight,$NoOfTraceAlertsWeight                    ,42,$bfNoOfTraceAlertsEffectiveWeight                    ,53,$sfNoOfTraceAlertsEffectiveWeight                    ,53,$bfNoOfTraceAlertsScore                    ,43,$sfNoOfTraceAlertsScore                    ,43
